request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT
0,qwen2-moe,10,80,46926808,12754726724,12707799916,0,42553659,181539998
1,qwen2-moe,22,126,347938952,16379485439,16031546487,32946516,98783972,154149485
2,qwen2-moe,16,85,479613521,13917015611,13437402090,31925822,126875793,194744957
3,qwen2-moe,4,16,570907776,3519212513,2948304737,35581538,198659667,245692061
4,qwen2-moe,13,109,587870263,16173932948,15586062685,18619051,181697180,162354819
5,qwen2-moe,15,78,604829893,13335191945,12730362052,1659421,164737550,202069238
6,qwen2-moe,15,99,610813769,15454386483,14843572714,158753674,348854803,176709198
7,qwen2-moe,2,11,811936856,3281634520,2469697664,147731716,386376574,274410851
8,qwen2-moe,18,76,903845071,12916611477,12012766406,55823501,294468359,207116662
9,qwen2-moe,5,31,1026970077,7104349702,6077379625,171343353,434366462,233745370
