request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT
0,qwen2-moe,10,80,46926808,13238643509,13191716701,0,47373496,188453095
1,qwen2-moe,22,126,347938952,16858625170,16510686218,23592116,94845814,158756598
2,qwen2-moe,16,85,479613521,14274105580,13794492059,32331382,131704860,199920174
3,qwen2-moe,4,16,570907776,3604778446,3033870670,40410605,234288777,252822555
4,qwen2-moe,13,109,587870263,16630802824,16042932561,23448118,217326290,167113880
5,qwen2-moe,15,78,604829893,13672246915,13067417022,6488488,200366660,207419317
6,qwen2-moe,15,99,610813769,15793191804,15182378035,504612,194382784,180742595
7,qwen2-moe,2,11,811936856,3362737275,2550800419,189162070,429333166,283422268
8,qwen2-moe,18,76,903845071,13238643509,12334798438,97253855,337424951,212668938
9,qwen2-moe,5,31,1026970077,7264540794,6237570717,214299945,479700118,239906566
