request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT
0,qwen2-moe,10,80,46926808,12756488364,12709561556,0,42583928,181565165
1,qwen2-moe,22,126,347938952,16381607283,16033668331,32997974,98905048,154169887
2,qwen2-moe,16,85,479613521,13918901349,13439287828,32052952,127057406,194772287
3,qwen2-moe,4,16,570907776,3519926858,2949019082,35763151,198947221,245751590
4,qwen2-moe,13,109,587870263,16176039657,15588169394,18800664,181984734,162376764
5,qwen2-moe,15,78,604829893,13337017148,12732187255,1841034,165025104,202098210
6,qwen2-moe,15,99,610813769,15456426598,14845612829,159041228,349205921,176733486
7,qwen2-moe,2,11,811936856,3282321623,2470384767,148082834,386809418,274487196
8,qwen2-moe,18,76,903845071,12918391278,12014546207,56174619,294901203,207147348
9,qwen2-moe,5,31,1026970077,7105475702,6078505625,171776197,434841682,233788677
