hardware,model,layer_name,input,kv_cache,latency(ns)
A800,qwen2-moe,attention/wrapper,1,6,755199
A800,qwen2-moe,post_layernorm,1,6,58624
A800,qwen2-moe,mlp/fc,1,6,77908
A800,qwen2-moe,mlp/gelu,1,6,78249
A800,qwen2-moe,mlp/proj,1,6,72234
A800,qwen2-moe,moe/shared_expert,1,6,494890
A800,qwen2-moe,moe/shared_expert_gate,1,6,89728
A800,qwen2-moe,moe/gate,1,6,61951
A800,qwen2-moe,moe/experts,1,6,411946
A800,qwen2-moe,mlp/wrapper,1,6,1469012
A800,qwen2-moe,ln_f,1,6,67584
A800,qwen2-moe,lm_head,1,6,405503
A800,qwen2-moe,vocab_embedding,1,7,78847
A800,qwen2-moe,input_layernorm,1,7,59178
A800,qwen2-moe,attention/qkv,1,7,76927
A800,qwen2-moe,attention/rotary_emb,1,7,134953
A800,qwen2-moe,attention/dense,1,7,56490
A800,qwen2-moe,attention/wrapper,1,7,752852
A800,qwen2-moe,post_layernorm,1,7,59221
A800,qwen2-moe,mlp/fc,1,7,77866
A800,qwen2-moe,mlp/gelu,1,7,78847
A800,qwen2-moe,mlp/proj,1,7,72234
A800,qwen2-moe,moe/shared_expert,1,7,493525
A800,qwen2-moe,moe/shared_expert_gate,1,7,89855
A800,qwen2-moe,moe/gate,1,7,61269
A800,qwen2-moe,moe/experts,1,7,412116
A800,qwen2-moe,mlp/wrapper,1,7,1468244
A800,qwen2-moe,ln_f,1,7,64511
A800,qwen2-moe,lm_head,1,7,408576
A800,qwen2-moe,vocab_embedding,1,8,73728
A800,qwen2-moe,input_layernorm,1,8,59306
A800,qwen2-moe,attention/qkv,1,8,77738
A800,qwen2-moe,attention/rotary_emb,1,8,134996
A800,qwen2-moe,attention/dense,1,8,56618
A800,qwen2-moe,attention/wrapper,1,8,753578
A800,qwen2-moe,post_layernorm,1,8,58837
A800,qwen2-moe,mlp/fc,1,8,78505
A800,qwen2-moe,mlp/gelu,1,8,79103
A800,qwen2-moe,mlp/proj,1,8,72277
A800,qwen2-moe,moe/shared_expert,1,8,494847
A800,qwen2-moe,moe/shared_expert_gate,1,8,90239
A800,qwen2-moe,moe/gate,1,8,62335
A800,qwen2-moe,moe/experts,1,8,411263
A800,qwen2-moe,mlp/wrapper,1,8,1467647
A800,qwen2-moe,ln_f,1,8,57344
A800,qwen2-moe,lm_head,1,8,410623
A800,qwen2-moe,vocab_embedding,1,9,73728
A800,qwen2-moe,input_layernorm,1,9,58709
A800,qwen2-moe,attention/qkv,1,9,77397
A800,qwen2-moe,attention/rotary_emb,1,9,134996
A800,qwen2-moe,attention/dense,1,9,57173
A800,qwen2-moe,attention/wrapper,1,9,753151
A800,qwen2-moe,post_layernorm,1,9,58581
A800,qwen2-moe,mlp/fc,1,9,77951
A800,qwen2-moe,mlp/gelu,1,9,78121
A800,qwen2-moe,mlp/proj,1,9,72106
A800,qwen2-moe,moe/shared_expert,1,9,493226
A800,qwen2-moe,moe/shared_expert_gate,1,9,89557
A800,qwen2-moe,moe/gate,1,9,61567
A800,qwen2-moe,moe/experts,1,9,412287
A800,qwen2-moe,mlp/wrapper,1,9,1467988
A800,qwen2-moe,ln_f,1,9,57344
A800,qwen2-moe,lm_head,1,9,408576
